"","items","count","total","rnd","customer","age","city","paymentType"
"34","pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner",8,988,8,"Rania",37,"Dakahlia","Credit"
"35","beef,grapes,detergent",3,148,13,"Sayed",37,"Cairo","Credit"
"36","pastry,soda",2,1009,8,"Rania",37,"Dakahlia","Credit"
"37","fruit/vegetable juice",1,1760,14,"Magdy",36,"Sohag","Cash"
"38","canned beer",1,1465,6,"Walaa",29,"Cairo","Credit"
"39","root vegetables,other vegetables,whole milk,dessert",4,2374,6,"Walaa",29,"Cairo","Credit"
"40","citrus fruit,zwieback,newspapers",3,416,4,"Adel",50,"Alexandria","Cash"
"41","sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags",6,2117,10,"Samy",55,"Alexandria","Credit"
"43","berries,yogurt",2,443,15,"Sameh",35,"Hurghada","Cash"
"44","canned beer",1,1225,15,"Sameh",35,"Hurghada","Credit"
"45","butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers",8,1413,8,"Rania",37,"Dakahlia","Credit"
"46","coffee",1,1983,2,"Mohamed",25,"Alexandria","Cash"
"47","pastry,bottled water",2,730,1,"Farida",22,"Cairo","Credit"
"48","rolls/buns",1,2430,10,"Samy",55,"Alexandria","Credit"
"49","misc. beverages",1,194,12,"Eman",23,"Aswan","Credit"
"50","root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product",10,2232,5,"Shimaa",55,"Port Said","Credit"
"51","sausage,rolls/buns,cat food,newspapers",4,2276,9,"Maged",60,"Hurghada","Cash"
"52","canned beer",1,569,15,"Sameh",35,"Hurghada","Credit"
"53","ham,grapes,other vegetables,whole milk",4,1597,10,"Samy",55,"Alexandria","Cash"
"54","turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice",10,433,5,"Shimaa",55,"Port Said","Cash"
"55","whole milk,yogurt,processed cheese,pickled vegetables,soda",5,114,9,"Maged",60,"Hurghada","Cash"
"56","whole milk,curd,yogurt,pastry",4,1026,2,"Mohamed",25,"Alexandria","Credit"
"57","packaged fruit/vegetables,brown bread,canned beer",3,2236,11,"Hanan",22,"Fayoum","Cash"
"58","rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins",7,1372,5,"Shimaa",55,"Port Said","Credit"
"59","ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food",6,384,4,"Adel",50,"Alexandria","Cash"
"60","rolls/buns,pastry,sugar",3,1743,8,"Rania",37,"Dakahlia","Cash"
"61","other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent",7,2146,11,"Hanan",22,"Fayoum","Credit"
"62","sausage,pastry",2,912,12,"Eman",23,"Aswan","Cash"
"63","sausage,beef,whole milk",3,222,4,"Adel",50,"Alexandria","Credit"
"64","frankfurter,tropical fruit,rolls/buns,brown bread,sugar",5,688,14,"Magdy",36,"Sohag","Cash"
"65","rolls/buns,pastry,soda",3,1645,2,"Mohamed",25,"Alexandria","Cash"
"66","whole milk",1,453,1,"Farida",22,"Cairo","Credit"
"67","curd cheese,coffee",2,2455,2,"Mohamed",25,"Alexandria","Cash"
"68","red/blush wine,newspapers",2,1261,3,"Ahmed",30,"Giza","Credit"
"69","sausage,whole milk,curd",3,975,5,"Shimaa",55,"Port Said","Cash"
"70","tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate",8,1841,2,"Mohamed",25,"Alexandria","Cash"
"71","red/blush wine",1,1967,4,"Adel",50,"Alexandria","Cash"
"72","whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)",7,1853,14,"Magdy",36,"Sohag","Credit"
"73","frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers",8,1479,2,"Mohamed",25,"Alexandria","Credit"
"74","whole milk,meat spreads,soda",3,2097,10,"Samy",55,"Alexandria","Credit"
"75","frozen potato products",1,1759,4,"Adel",50,"Alexandria","Cash"
"76","other vegetables,whole milk,rolls/buns,sugar",4,2142,9,"Maged",60,"Hurghada","Cash"
"77","citrus fruit,whole milk,curd,butter milk,pastry",5,1390,9,"Maged",60,"Hurghada","Cash"
"78","flour,salt,bottled water,fruit/vegetable juice,bottled beer",5,2079,1,"Farida",22,"Cairo","Credit"
"79","sugar,bottled water,soda,bottled beer",4,242,12,"Eman",23,"Aswan","Cash"
"80","frozen meals,coffee",2,1083,7,"Huda",39,"Gharbia","Credit"
"81","chocolate",1,702,10,"Samy",55,"Alexandria","Credit"
"82","root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner",10,870,12,"Eman",23,"Aswan","Cash"
"83","root vegetables,onions,hard cheese,frozen vegetables",4,454,12,"Eman",23,"Aswan","Cash"
"84","herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles",7,328,13,"Sayed",37,"Cairo","Credit"
"85","bottled water",1,906,3,"Ahmed",30,"Giza","Credit"
"86","sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent",7,2270,15,"Sameh",35,"Hurghada","Cash"
"87","coffee,newspapers",2,1228,9,"Maged",60,"Hurghada","Credit"
"88","pork,other vegetables,whipped/sour cream",3,563,14,"Magdy",36,"Sohag","Cash"
"89","berries,yogurt",2,2353,4,"Adel",50,"Alexandria","Credit"
"90","soda",1,748,6,"Walaa",29,"Cairo","Cash"
"91","berries",1,705,7,"Huda",39,"Gharbia","Cash"
"92","fruit/vegetable juice,salty snack,candles",3,1133,1,"Farida",22,"Cairo","Credit"
"93","citrus fruit,butter milk,yogurt,cream cheese ",4,2133,5,"Shimaa",55,"Port Said","Credit"
"94","pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate",9,1364,10,"Samy",55,"Alexandria","Credit"
"95","detergent",1,1319,5,"Shimaa",55,"Port Said","Credit"
"96","grapes,photo/film",2,1737,8,"Rania",37,"Dakahlia","Credit"
"97","sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags",9,2213,1,"Farida",22,"Cairo","Credit"
"98","chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent",10,940,6,"Walaa",29,"Cairo","Credit"
"99","whole milk,yogurt,brown bread",3,1072,14,"Magdy",36,"Sohag","Cash"
"100","citrus fruit,tropical fruit",2,813,10,"Samy",55,"Alexandria","Credit"
"101","soda,misc. beverages",2,1324,3,"Ahmed",30,"Giza","Cash"
"102","sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner",9,838,6,"Walaa",29,"Cairo","Credit"
"103","frankfurter,rolls/buns,bottled water",3,878,10,"Samy",55,"Alexandria","Cash"
"104","sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags",10,1695,1,"Farida",22,"Cairo","Credit"
"105","soda",1,2087,4,"Adel",50,"Alexandria","Cash"
"106","rolls/buns,fruit/vegetable juice",2,1025,3,"Ahmed",30,"Giza","Cash"
"107","beef,citrus fruit,berries,root vegetables,brown bread,detergent",6,753,5,"Shimaa",55,"Port Said","Cash"
"108","whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags",7,144,12,"Eman",23,"Aswan","Cash"
"109","processed cheese",1,764,6,"Walaa",29,"Cairo","Cash"
"110","tropical fruit,pip fruit",2,163,12,"Eman",23,"Aswan","Credit"
"111","frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes",10,1334,15,"Sameh",35,"Hurghada","Credit"
"112","packaged fruit/vegetables,bottled water",2,623,7,"Huda",39,"Gharbia","Credit"
"113","whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers",8,1141,15,"Sameh",35,"Hurghada","Cash"
"114","berries,whipped/sour cream",2,2104,15,"Sameh",35,"Hurghada","Cash"
"115","citrus fruit,berries,UHT-milk,processed cheese",4,2162,14,"Magdy",36,"Sohag","Credit"
"116","tropical fruit,whole milk,yogurt",3,578,13,"Sayed",37,"Cairo","Credit"
"117","hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine",6,1928,3,"Ahmed",30,"Giza","Cash"
"118","hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes",7,924,15,"Sameh",35,"Hurghada","Credit"
"119","whole milk,cream cheese ,soda",3,2289,8,"Rania",37,"Dakahlia","Credit"
"120","fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags",8,312,2,"Mohamed",25,"Alexandria","Cash"
"121","frankfurter,sausage,long life bakery product,waffles",4,1721,13,"Sayed",37,"Cairo","Cash"
"122","packaged fruit/vegetables,dessert,semi-finished bread,canned beer",4,918,6,"Walaa",29,"Cairo","Cash"
"123","pastry,soda",2,119,6,"Walaa",29,"Cairo","Cash"
"124","other vegetables,red/blush wine",2,554,7,"Huda",39,"Gharbia","Credit"
"125","misc. beverages",1,491,3,"Ahmed",30,"Giza","Cash"
"127","sparkling wine",1,320,10,"Samy",55,"Alexandria","Cash"
"128","specialty bar",1,2109,14,"Magdy",36,"Sohag","Credit"
"129","sausage,butter milk,rolls/buns",3,2403,6,"Walaa",29,"Cairo","Cash"
"130","curd cheese",1,717,11,"Hanan",22,"Fayoum","Credit"
"131","frankfurter,dessert",2,1126,4,"Adel",50,"Alexandria","Cash"
"132","whole milk,yogurt,beverages,brown bread,shopping bags",5,1316,6,"Walaa",29,"Cairo","Cash"
"133","newspapers",1,1854,11,"Hanan",22,"Fayoum","Cash"
"134","berries,soda",2,179,9,"Maged",60,"Hurghada","Credit"
"135","curd,flour,liquor (appetizer)",3,1103,7,"Huda",39,"Gharbia","Credit"
"136","tropical fruit,other vegetables,coffee",3,1622,14,"Magdy",36,"Sohag","Credit"
"137","soda",1,892,15,"Sameh",35,"Hurghada","Credit"
"138","rolls/buns,Instant food products",2,321,5,"Shimaa",55,"Port Said","Credit"
"139","canned beer",1,1501,15,"Sameh",35,"Hurghada","Cash"
"140","canned beer",1,111,1,"Farida",22,"Cairo","Credit"
"141","frankfurter,sausage,whole milk,rolls/buns,margarine",5,1479,15,"Sameh",35,"Hurghada","Cash"
"142","other vegetables,misc. beverages,canned beer",3,1797,15,"Sameh",35,"Hurghada","Cash"
"143","whole milk,frozen vegetables",2,1084,3,"Ahmed",30,"Giza","Cash"
"144","whole milk",1,2249,10,"Samy",55,"Alexandria","Credit"
"145","citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers",7,1819,14,"Magdy",36,"Sohag","Cash"
"146","frankfurter,rolls/buns",2,2375,9,"Maged",60,"Hurghada","Cash"
"147","frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",10,1379,11,"Hanan",22,"Fayoum","Credit"
"148","butter milk,yogurt,honey,soda,detergent",5,2321,2,"Mohamed",25,"Alexandria","Cash"
"149","hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care",6,2344,9,"Maged",60,"Hurghada","Cash"
"150","pasta,popcorn",2,1290,6,"Walaa",29,"Cairo","Credit"
"151","other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags",6,2386,13,"Sayed",37,"Cairo","Cash"
"152","sausage,pork,citrus fruit,dessert,white bread,dishes,candles",7,512,2,"Mohamed",25,"Alexandria","Credit"
"153","rolls/buns",1,1894,13,"Sayed",37,"Cairo","Credit"
"154","grapes,other vegetables,curd,dessert,yogurt,napkins",6,311,1,"Farida",22,"Cairo","Cash"
"155","root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer",9,364,6,"Walaa",29,"Cairo","Cash"
"156","coffee,shopping bags",2,2060,2,"Mohamed",25,"Alexandria","Credit"
"157","popcorn",1,1773,5,"Shimaa",55,"Port Said","Credit"
"158","whole milk,rolls/buns,sugar,bottled water,soda",5,556,3,"Ahmed",30,"Giza","Credit"
"159","tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products",5,1721,15,"Sameh",35,"Hurghada","Cash"
"160","beef,herbs,flour,cling film/bags,flower soil/fertilizer",5,596,6,"Walaa",29,"Cairo","Cash"
"161","whole milk,butter,dessert,rolls/buns",4,1649,6,"Walaa",29,"Cairo","Credit"
"162","frankfurter,soda,chewing gum",3,1352,10,"Samy",55,"Alexandria","Credit"
"163","tropical fruit,specialty cheese,bottled water",3,488,3,"Ahmed",30,"Giza","Cash"
"164","canned beer",1,1597,14,"Magdy",36,"Sohag","Credit"
"165","finished products,other vegetables,frozen vegetables,bottled beer",4,775,4,"Adel",50,"Alexandria","Credit"
"166","beverages,soda",2,169,6,"Walaa",29,"Cairo","Cash"
"167","hamburger meat,root vegetables,whole milk",3,2172,10,"Samy",55,"Alexandria","Credit"
"168","whole milk,pastry,long life bakery product",3,1163,2,"Mohamed",25,"Alexandria","Credit"
"169","finished products,white wine,shopping bags",3,427,12,"Eman",23,"Aswan","Credit"
"170","other vegetables",1,1983,7,"Huda",39,"Gharbia","Credit"
"171","ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",8,1201,11,"Hanan",22,"Fayoum","Cash"
"172","other vegetables",1,650,6,"Walaa",29,"Cairo","Credit"
"173","curd,butter milk,cocoa drinks,salty snack,popcorn",5,2132,14,"Magdy",36,"Sohag","Credit"
"174","bottled beer",1,280,11,"Hanan",22,"Fayoum","Credit"
"175","curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags",8,1873,14,"Magdy",36,"Sohag","Cash"
"176","whole milk,cream cheese ,cereals,dog food",4,2028,8,"Rania",37,"Dakahlia","Credit"
"177","whole milk,salt",2,1838,9,"Maged",60,"Hurghada","Credit"
"178","dessert,ice cream",2,2292,15,"Sameh",35,"Hurghada","Cash"
"179","sausage,soft cheese,coffee",3,183,5,"Shimaa",55,"Port Said","Credit"
"180","other vegetables,bottled water,waffles,dishes,shopping bags",5,2459,3,"Ahmed",30,"Giza","Credit"
"181","ham,whole milk,rolls/buns",3,2307,8,"Rania",37,"Dakahlia","Credit"
"182","other vegetables,ice cream",2,2103,11,"Hanan",22,"Fayoum","Cash"
"183","other vegetables,bottled water",2,2047,9,"Maged",60,"Hurghada","Credit"
"184","soda,bottled beer,white wine,prosecco",4,1922,1,"Farida",22,"Cairo","Credit"
"185","herbs,candy",2,1646,13,"Sayed",37,"Cairo","Credit"
"187","rolls/buns,canned beer",2,2066,2,"Mohamed",25,"Alexandria","Credit"
"188","curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",7,853,11,"Hanan",22,"Fayoum","Credit"
"189","frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags",6,964,6,"Walaa",29,"Cairo","Cash"
"190","other vegetables",1,564,3,"Ahmed",30,"Giza","Credit"
"191","dog food",1,1183,15,"Sameh",35,"Hurghada","Cash"
"192","specialty bar",1,841,4,"Adel",50,"Alexandria","Cash"
"193","curd,salt,liquor (appetizer),detergent,shopping bags",5,1544,11,"Hanan",22,"Fayoum","Cash"
"194","frankfurter,rolls/buns",2,1352,14,"Magdy",36,"Sohag","Cash"
"195","soda",1,2085,12,"Eman",23,"Aswan","Credit"
"196","beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread",7,113,13,"Sayed",37,"Cairo","Credit"
"197","canned beer",1,1120,14,"Magdy",36,"Sohag","Credit"
"198","pork,beef,pip fruit,herbs,spices",5,572,5,"Shimaa",55,"Port Said","Credit"
"199","frankfurter,citrus fruit,UHT-milk,margarine,sugar",5,1343,12,"Eman",23,"Aswan","Credit"
"200","sausage,bottled beer,liquor (appetizer)",3,2461,11,"Hanan",22,"Fayoum","Credit"
"201","canned beer",1,2176,4,"Adel",50,"Alexandria","Credit"
"202","specialty chocolate",1,828,13,"Sayed",37,"Cairo","Cash"
"203","curd,rolls/buns",2,1076,11,"Hanan",22,"Fayoum","Cash"
"204","canned beer",1,1961,11,"Hanan",22,"Fayoum","Credit"
"205","whole milk,bottled water,newspapers",3,265,4,"Adel",50,"Alexandria","Credit"
"206","rolls/buns,chewing gum",2,1901,10,"Samy",55,"Alexandria","Cash"
"207","pork,root vegetables,other vegetables,whole milk,dishes",5,1702,11,"Hanan",22,"Fayoum","Cash"
"208","citrus fruit,pastry",2,613,14,"Magdy",36,"Sohag","Cash"
"209","pot plants",1,876,11,"Hanan",22,"Fayoum","Cash"
"210","rolls/buns,pastry,soda",3,2319,8,"Rania",37,"Dakahlia","Cash"
"211","butter,yogurt,bottled water,soda,make up remover,hygiene articles",6,2178,8,"Rania",37,"Dakahlia","Cash"
"212","condensed milk,sugar,coffee,shopping bags",4,378,5,"Shimaa",55,"Port Said","Cash"
"213","sausage,other vegetables,yogurt,soda,shopping bags",5,1547,2,"Mohamed",25,"Alexandria","Credit"
"214","whole milk,beverages,UHT-milk,soda",4,441,13,"Sayed",37,"Cairo","Cash"
"215","sausage,pork,beef,whole milk,rolls/buns,margarine",6,1790,6,"Walaa",29,"Cairo","Cash"
"216","beverages",1,2209,14,"Magdy",36,"Sohag","Cash"
"217","beverages,specialty bar",2,137,15,"Sameh",35,"Hurghada","Credit"
"218","bottled water,fruit/vegetable juice",2,543,13,"Sayed",37,"Cairo","Credit"
"219","newspapers",1,1378,9,"Maged",60,"Hurghada","Credit"
"220","cleaner,female sanitary products",2,1828,6,"Walaa",29,"Cairo","Credit"
"221","sausage,soda,newspapers,shopping bags",4,1961,1,"Farida",22,"Cairo","Credit"
"222","newspapers",1,1383,5,"Shimaa",55,"Port Said","Cash"
"223","sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware",12,1455,10,"Samy",55,"Alexandria","Cash"
"224","misc. beverages,newspapers",2,1857,10,"Samy",55,"Alexandria","Credit"
"225","white wine",1,974,14,"Magdy",36,"Sohag","Credit"
"226","sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags",6,1500,2,"Mohamed",25,"Alexandria","Cash"
"227","meat,curd,bottled beer,cake bar",4,639,4,"Adel",50,"Alexandria","Cash"
"228","frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags",8,1588,10,"Samy",55,"Alexandria","Cash"
"229","ice cream,rolls/buns,canned beer",3,1525,10,"Samy",55,"Alexandria","Credit"
"230","canned beer",1,1938,12,"Eman",23,"Aswan","Cash"
"231","tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags",6,437,15,"Sameh",35,"Hurghada","Cash"
"232","meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water",12,743,4,"Adel",50,"Alexandria","Credit"
"233","whole milk,mustard,bottled water",3,2326,3,"Ahmed",30,"Giza","Credit"
"234","sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)",8,2404,4,"Adel",50,"Alexandria","Cash"
"235","frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product",9,948,6,"Walaa",29,"Cairo","Credit"
"236","meat,other vegetables,butter,rolls/buns",4,2413,11,"Hanan",22,"Fayoum","Cash"
"237","root vegetables,beverages,Instant food products,pickled vegetables,detergent",5,1349,2,"Mohamed",25,"Alexandria","Credit"
"238","root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns",6,529,7,"Huda",39,"Gharbia","Cash"
"239","whole milk,whipped/sour cream,semi-finished bread,margarine",4,183,7,"Huda",39,"Gharbia","Cash"
"241","citrus fruit,curd,pastry,margarine,sugar,candy,newspapers",7,2212,12,"Eman",23,"Aswan","Credit"
"242","other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins",8,390,9,"Maged",60,"Hurghada","Cash"
"243","citrus fruit,whole milk,rolls/buns",3,1541,2,"Mohamed",25,"Alexandria","Cash"
"244","sausage,oil,hygiene articles,napkins",4,282,13,"Sayed",37,"Cairo","Cash"
"245","frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer",11,1146,7,"Huda",39,"Gharbia","Credit"
"246","hard cheese,rolls/buns,bottled water,newspapers",4,1175,3,"Ahmed",30,"Giza","Cash"
"247","cream cheese ,rolls/buns,soda,chocolate",4,1542,10,"Samy",55,"Alexandria","Cash"
"248","turkey,beef,frozen vegetables,dishes,photo/film",5,577,8,"Rania",37,"Dakahlia","Cash"
"249","pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags",6,620,15,"Sameh",35,"Hurghada","Cash"
"250","whole milk,beverages",2,799,8,"Rania",37,"Dakahlia","Cash"
"251","rolls/buns,soda",2,2494,13,"Sayed",37,"Cairo","Cash"
"252","sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles",9,905,7,"Huda",39,"Gharbia","Credit"
"253","ice cream",1,2186,11,"Hanan",22,"Fayoum","Credit"
"254","liquor",1,1875,13,"Sayed",37,"Cairo","Cash"
"255","pip fruit,other vegetables,fruit/vegetable juice",3,1074,3,"Ahmed",30,"Giza","Credit"
"256","root vegetables,other vegetables,yogurt",3,795,15,"Sameh",35,"Hurghada","Credit"
"257","soda",1,959,6,"Walaa",29,"Cairo","Cash"
"258","soda",1,462,2,"Mohamed",25,"Alexandria","Credit"
"259","sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers",11,1361,6,"Walaa",29,"Cairo","Cash"
"260","root vegetables,whole milk,pet care,detergent",4,2260,3,"Ahmed",30,"Giza","Credit"
"261","pork,berries,root vegetables,other vegetables,pastry,specialty bar",6,2139,12,"Eman",23,"Aswan","Credit"
"262","pork",1,1567,10,"Samy",55,"Alexandria","Cash"
"263","chocolate",1,2030,14,"Magdy",36,"Sohag","Cash"
"264","fruit/vegetable juice",1,813,12,"Eman",23,"Aswan","Cash"
"265","pickled vegetables,coffee",2,2385,14,"Magdy",36,"Sohag","Cash"
"266","bottled water",1,852,2,"Mohamed",25,"Alexandria","Cash"
"267","frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices",7,882,10,"Samy",55,"Alexandria","Credit"
"268","tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins",12,1044,13,"Sayed",37,"Cairo","Credit"
"269","canned beer",1,2163,15,"Sameh",35,"Hurghada","Cash"
"270","root vegetables",1,1604,14,"Magdy",36,"Sohag","Credit"
"271","meat,citrus fruit,berries,root vegetables,whole milk,soda",6,1959,2,"Mohamed",25,"Alexandria","Cash"
"272","frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles",5,906,11,"Hanan",22,"Fayoum","Cash"
"273","tropical fruit,margarine,rum",3,1601,9,"Maged",60,"Hurghada","Cash"
"274","tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles",8,516,7,"Huda",39,"Gharbia","Cash"
"275","citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles",11,636,10,"Samy",55,"Alexandria","Cash"
"276","hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice",11,756,10,"Samy",55,"Alexandria","Cash"
"277","chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles",11,2371,11,"Hanan",22,"Fayoum","Credit"
"278","chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns",7,1781,7,"Huda",39,"Gharbia","Credit"
"279","frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda",8,572,4,"Adel",50,"Alexandria","Cash"
"280","canned beer",1,1102,5,"Shimaa",55,"Port Said","Cash"
"281","turkey,pip fruit,salad dressing,pastry",4,2356,3,"Ahmed",30,"Giza","Credit"
"282","packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages",10,1026,13,"Sayed",37,"Cairo","Cash"
"283","pasta",1,292,15,"Sameh",35,"Hurghada","Credit"
"284","citrus fruit,tropical fruit",2,1692,15,"Sameh",35,"Hurghada","Cash"
